Date,AAPL,AMZN,MSFT,TSLA,SPY
2021-02-25,117.84371185302734,152.85800170898438,219.72958374023438,227.4066619873047,356.89599609375
2021-02-26,118.10669708251953,154.64649963378906,222.98245239257812,225.1666717529297,355.0570983886719
2021-03-01,124.46691131591797,157.3070068359375,227.35804748535156,239.47666931152344,363.6636962890625
2021-03-02,121.86634063720703,154.72650146484375,224.41221618652344,228.81333923339844,360.8258972167969
2021-03-03,118.88590240478516,150.25,218.35736083984375,217.73333740234375,356.0465393066406
2021-03-04,117.00607299804688,148.8784942626953,217.5609130859375,207.14666748046875,351.6405334472656
2021-03-05,118.26251983642578,150.0229949951172,222.23399353027344,199.31666564941406,358.1094970703125
2021-03-08,113.33412170410156,147.59750366210938,218.1942596435547,187.6666717529297,356.3265380859375
2021-03-09,117.94111633300781,153.1425018310547,224.32582092285156,224.52667236328125,361.41400146484375
2021-03-10,116.8600082397461,152.8820037841797,223.02081298828125,222.68666076660156,363.6636962890625
2021-03-11,118.78849792480469,155.67950439453125,227.54034423828125,233.1999969482422,367.3509826660156
2021-03-12,117.88268280029297,154.47450256347656,226.21620178222656,231.2433319091797,367.84564208984375
2021-03-15,120.76570892333984,154.08399963378906,225.31419372558594,235.97999572753906,370.03936767578125
2021-03-16,122.30463409423828,154.59300231933594,228.096923828125,225.6266632080078,369.5726318359375
2021-03-17,121.51570129394531,156.7864990234375,227.45401000976562,233.93666076660156,370.8327941894531
2021-03-18,117.39567565917969,151.39950561523438,221.3895721435547,217.72000122070312,365.4372863769531
2021-03-19,116.8697280883789,153.7480010986328,221.03456115722656,218.2899932861328,364.7611083984375
2021-03-22,120.18131256103516,155.5435028076172,226.44647216796875,223.3333282470703,367.6737060546875
2021-03-23,119.35342407226562,156.875,227.97218322753906,220.72000122070312,364.7798767089844
2021-03-24,116.96710968017578,154.35350036621094,225.93788146972656,210.08999633789062,362.9255065917969
2021-03-25,117.45409393310547,152.31300354003906,222.94406127929688,213.4633331298828,364.9671630859375
2021-03-26,118.0580062866211,152.60150146484375,226.91665649414062,206.23666381835938,370.8486328125
2021-03-29,118.23333740234375,153.7864990234375,225.72679138183594,203.76333618164062,370.66131591796875
2021-03-30,116.78206634521484,152.76449584960938,222.47390747070312,211.8733367919922,369.677978515625
2021-03-31,118.97354888916016,154.70399475097656,226.23536682128906,222.64332580566406,371.1763610839844
2021-04-01,119.80144500732422,158.0500030517578,232.54928588867188,220.5833282470703,375.1847229003906
2021-04-05,122.62606048583984,161.3365020751953,238.99755859375,230.35000610351562,380.5697326660156
2021-04-06,122.927978515625,161.1909942626953,237.83642578125,230.5399932861328,380.34503173828125
2021-04-07,124.57403564453125,163.96949768066406,239.79391479492188,223.6566619873047,380.7852478027344
2021-04-08,126.97006225585938,164.96499633789062,243.00843811035156,227.93333435058594,382.59271240234375
2021-04-09,129.54144287109375,168.61000061035156,245.5033416748047,225.67333984375,385.3742980957031
2021-04-12,127.82719421386719,168.96949768066406,245.56088256835938,233.9933319091797,385.5148010253906
2021-04-13,130.93423461914062,170.0,248.03659057617188,254.10667419433594,386.65728759765625
2021-04-14,128.5966339111328,166.64999389648438,245.25381469726562,244.07666015625,385.3368225097656
2021-04-15,131.0023956298828,168.95449829101562,249.00570678710938,246.28334045410156,389.47625732421875
2021-04-16,130.6712646484375,169.9720001220703,250.19552612304688,246.5933380126953,390.778076171875
2021-04-19,131.3335418701172,168.60049438476562,248.2764434814453,238.2100067138672,388.858154296875
2021-04-20,129.6485595703125,166.7344970703125,247.8158416748047,239.663330078125,386.0111083984375
