Date,AAPL,AMZN,MSFT,TSLA,SPY
2021-02-26,0.002231644144238931,0.011700387973209825,0.014803963112173912,-0.009850152211020369,-0.005152475021308667
2021-03-01,0.05385142748471439,0.017203798394717307,0.01962304677262172,0.06355291148192554,0.024240038966828914
2021-03-02,-0.020893670865747227,-0.016404262105025436,-0.012956793618743245,-0.044527636486599076,-0.007803360910707879
2021-03-03,-0.024456615475921817,-0.02893170479822993,-0.026980952505932687,-0.048423758283395624,-0.013245606667984355
2021-03-04,-0.01581204641352507,-0.009128157985388907,-0.003647450907278582,-0.04862218183112754,-0.012374803215206565
2021-03-05,0.010738304484416705,0.007687481916645478,0.021479411802661774,-0.037799313531283074,0.01839652431313632
2021-03-08,-0.04167337326433518,-0.016167463748385735,-0.018177839593961354,-0.05844967282854319,-0.00497880955116059
2021-03-09,0.040649669840248315,0.03756837366056898,0.02810138676110685,0.1964120760817838,0.014277531519920839
2021-03-10,-0.009166507210337071,-0.0017010173123747085,-0.0058174664387793396,-0.00819506910832657,0.00622470301399658
2021-03-11,0.016502563315776708,0.018298429776605563,0.020265064903325802,0.04721134236531421,0.010139275420063543
2021-03-12,-0.007625444721803931,-0.0077402727850476305,-0.0058193744080303755,-0.008390501992574073,0.0013465580525691134
2021-03-15,0.024456739994041854,-0.0025279442445658162,-0.0039873715920177855,0.020483461206222797,0.005963712315508962
2021-03-16,0.012743064108333257,0.0033034103914528767,0.012350442981537979,-0.04387377195940434,-0.001261314013088155
2021-03-17,-0.006450555256026336,0.014188848597238346,-0.002818599249693632,0.03683074261011732,0.003409782665062311
2021-03-18,-0.0339052944672501,-0.03435878370750434,-0.02666225961877111,-0.06932072763951169,-0.014549705142160363
2021-03-19,-0.004480127294702929,0.015511909856343209,-0.0016035578500415149,0.0026180050626212203,-0.0018503256337617513
2021-03-22,0.02833569074578457,0.01167821172408301,0.02448445610681027,0.023103830299388672,0.007984945733492177
2021-03-23,-0.006888662397900536,0.008560288075996736,0.006737623443471508,-0.01170146456365928,-0.007870645352248018
2021-03-24,-0.01999368187916406,-0.016073304438495972,-0.008923464823697658,-0.04816058727810224,-0.005083531838207422
2021-03-25,0.004163428969573113,-0.013219634289670767,-0.013250634072316192,0.016056627401557888,0.005625552508870646
2021-03-26,0.005141688410278622,0.0018941122432061253,0.01781879809692266,-0.03385438241576755,0.016115065467348977
2021-03-29,0.0014851268561744124,0.007765307334585803,-0.0052436217362272775,-0.01199266702111268,-0.0005051033709108088
2021-03-30,-0.012274634963489905,-0.006645597502498379,-0.014410712575231188,0.039801078851212424,-0.0026529269716437653
2021-03-31,0.01876557430887682,0.01269600564306872,0.0169074180129698,0.05083220558444013,0.0040532102409125415
2021-04-01,0.006958656994718648,0.02162845443110406,0.02790862965457741,-0.009252455923119962,0.01079907622538312
2021-04-05,0.02357747419776901,0.02079404593469847,0.027728628279534373,0.04427659122771899,0.014352955855973626
2021-04-06,0.0024621033130229897,-0.0009018902147276409,-0.004858345915046414,0.0008247761127986308,-0.0005904329967606481
2021-04-07,0.013390418916691349,0.01723733655641202,0.008230400399105608,-0.029857428208930892,0.001157412422192694
2021-04-08,0.019233756046606043,0.006071242952548017,0.013405358172574378,0.01912159613436426,0.004746677057577919
2021-04-09,0.020251865436221816,0.02209562242522667,0.010266736348143457,-0.009915155733034697,0.007270357231567326
2021-04-12,-0.013233206449092982,0.0021321218730274705,0.0002343792681684942,0.03686741230129442,0.0003645882208072049
2021-04-13,0.02430656813193499,0.006098747605224553,0.010081850097290346,0.0859569036478478,0.0029635349128667166
2021-04-14,-0.017853243002545427,-0.01970591825597423,-0.011219215166770602,-0.03947166704647498,-0.003415078753836065
2021-04-15,0.018707812526512324,0.013828409714570444,0.015297996871016961,0.009040931223980753,0.01074238062039412
2021-04-16,-0.0025276711914554717,0.006022342354579324,0.004778281394790529,0.0012587029151958085,0.0033424857694792642
2021-04-19,0.005068269779599177,-0.00806900981526193,-0.007670331565632238,-0.03399658468630862,-0.004913074688856267
2021-04-20,-0.012829794093812352,-0.011067567276491497,-0.00185519737668971,0.006101017267521991,-0.007321553803045444
2021-04-21,0.002930096668709803,0.008195669633476843,0.00898314553435875,0.034951793439894185,0.009462074382953878
